posicion pixel,I minima,numero_pixel,elemento,lambda
75.2152,12078.9686,0,Fe,626.5141
241.0850,13985.0677,1,Fe,627.0231
275.6295,16236.8641,2,Fe,627.1283
531.6452,13807.3888,11,O2,627.9101
557.6483,14104.5705,14,O2,627.9896
574.0402,13524.1456,15,O2,628.0393
580.9016,12550.1981,16,Fe,628.0622
599.5902,14450.3112,17,O2,628.1178
625.1448,14349.3902,18,O2,628.1956
650.4930,13957.1709,20,O2,628.2726
685.4898,15578.4741,21,O2,628.3790
815.1310,15575.0366,24,O2,628.7749
869.2489,15469.6740,25,O2,628.9398
896.3298,14616.6678,26,O2,629.0221
920.4012,13187.3767,27,Fe,629.0974
960.0586,14623.0867,28,O2,629.2162
986.1778,14012.4604,31,O2,629.2958
1059.2891,14258.8445,32,O2,629.5178
1085.0224,13875.4615,33,O2,629.5960
1145.0245,12103.5858,35,Fe,629.7799
1167.1828,14376.0740,36,O2,629.8457
1192.7423,13814.6519,37,O2,629.9228
1267.0386,10667.9921,44,Fe,630.1508
1283.9583,14702.6906,45,O2,630.2000
1299.6328,11872.2090,46,Fe,630.2499
1309.0984,14482.9060,47,O2,630.2764
1409.3896,15440.6049,48,O2,630.5810
1434.4531,15257.0961,49,O2,630.6565
