posicion pixel,I minima,numero_pixel,elemento,long_onda
75.4498,15410.9942,0,Fe,626.5141
241.5434,18376.2742,1,Fe,627.0231
275.9733,22562.7531,2,Fe,627.1283
532.1474,19313.7200,12,O2,627.9101
558.1832,19778.2046,15,O2,627.9896
574.5408,19113.8484,16,O2,628.0393
581.5214,16518.2733,17,Fe,628.0622
600.3249,20355.9544,18,O2,628.1178
625.7821,20371.8797,19,O2,628.1956
650.9969,19674.9908,21,O2,628.2726
686.0121,22129.8542,22,O2,628.3796
815.7063,22088.4512,26,O2,628.7749
869.8298,22149.1054,27,O2,628.9398
896.9870,20917.7461,28,O2,629.0221
921.0876,17603.6702,29,Fe,629.0974
960.6814,20532.9939,30,O2,629.2162
986.9067,19575.4513,33,O2,629.2958
1059.8804,20335.7277,35,O2,629.5178
1085.6648,19784.7514,36,O2,629.5960
1145.5648,15962.5355,37,Fe,629.7799
1167.7008,20536.2148,38,O2,629.8457
1193.2478,19645.1074,39,O2,629.9228
1267.7757,13912.3657,44,Fe,630.1508
1284.4717,20921.0972,45,O2,630.2000
1300.4720,15483.8262,46,Fe,630.2499
1309.5834,20616.3967,47,O2,630.2764
1410.0958,22059.9989,48,O2,630.5810
1435.0671,21668.0310,49,O2,630.6565
