pixel,I minima,numero_pixel,elemento,long_onda
76.47,19387.54,0,Fe,626.5141
242.74,22881.69,1,Fe,627.0231
276.91,27421.02,2,Fe,627.1283
533.12,23586.96,12,O2,627.9101
559.08,24076.78,15,O2,627.9896
575.55,23463.23,16,O2,628.0393
582.37,20767.93,17,Fe,628.0622
601.22,25073.62,18,O2,628.1178
626.71,25020.28,19,O2,628.1956
651.90,23910.42,21,O2,628.2726
686.97,26779.56,22,O2,628.3796
816.58,27262.99,25,O2,628.7749
870.74,26969.10,26,O2,628.9398
897.96,26018.60,27,O2,629.0221
922.01,22286.76,28,Fe,629.0974
961.68,26074.21,29,O2,629.2162
1060.68,25158.02,33,O2,629.5178
1086.47,23891.86,34,O2,629.5960
1146.63,19803.44,36,Fe,629.7799
1168.71,24269.00,37,O2,629.8457
1194.09,23247.93,38,O2,629.9228
1268.84,17981.38,44,Fe,630.1508
1285.37,25148.31,45,O2,630.2000
1301.45,19448.68,46,Fe,630.2499
1310.63,25200.52,47,O2,630.2764
1411.05,26715.60,48,O2,630.5810
1435.99,26803.95,49,O2,630.6565
